".ci",".x",".y",".sids",".axisIndex","UKA_app.UKA.Kinase Name","UKA_app.UKA.Median Final score",".ri",".xs",".ys",".y0s"
0,2.788972063327765,2.3038184128314763,12,0,"LCK",2.3038184128314763,0,47612,35034,65535
0,2.551679969834183,2.519418213170831,8,0,"SYK",2.519418213170831,0,41631,39744,65535
0,2.5878405180770754,2.519418213170831,9,0,"ZAP70",2.519418213170831,0,42542,39744,65535
0,2.7569061861292927,2.586365002801444,4,0,"HCK",2.586365002801444,0,46804,41207,65535
0,3.2351513498647053,3.6655462488490693,0,0,"BLK",3.6655462488490693,0,58858,64781,65535
1,-17.401902911915517,0.9700645723588717,292,0,"JAK1",0.9700645723588717,0,64336,5899,65535
1,-18.200461261138624,0.9740247491961973,290,0,"ROS1",0.9740247491961973,0,61958,5985,65535
1,-19.426009572908324,0.982051029839947,283,0,"PTK7",0.982051029839947,0,58307,6161,65535
1,-20.844493987974243,1.002788417167495,266,0,"TYK2",1.002788417167495,0,54081,6614,65535
1,-26.141850682798403,1.010407814037687,262,0,"FGFR1",1.010407814037687,0,38302,6780,65535
1,-25.53579295199594,1.0123337350737254,261,0,"FGR",1.0123337350737254,0,40107,6822,65535
1,-26.60365031580583,1.0191425226259996,258,0,"FLT1",1.0191425226259996,0,36926,6971,65535
1,-25.23220112014653,1.0220935723628817,256,0,"KIT",1.0220935723628817,0,41011,7036,65535
1,-22.331591478544933,1.0225943956893122,255,0,"EPHB4",1.0225943956893122,0,49652,7046,65535
1,-26.343465802538123,1.0240721383449696,252,0,"JAK2",1.0240721383449696,0,37701,7079,65535
1,-24.621179175318417,1.0402337978873952,237,0,"JAK3",1.0402337978873952,0,42831,7432,65535
1,-25.24509902728805,1.0454101938753118,234,0,"FGFR3",1.0454101938753118,0,40973,7545,65535
1,-23.262072927760393,1.048085233134973,232,0,"EPHB3",1.048085233134973,0,46880,7603,65535
1,-27.122029280410914,1.0538229408417275,226,0,"LTK",1.0538229408417275,0,35382,7729,65535
1,-22.82749606856544,1.059176857926368,222,0,"EPHA3",1.059176857926368,0,48174,7846,65535
1,-23.743541686551264,1.0656631767753812,218,0,"FLT4",1.0656631767753812,0,45446,7987,65535
1,-23.434752081035498,1.0713407700966098,214,0,"INSRR",1.0713407700966098,0,46366,8111,65535
1,-27.740631659083103,1.07448164182257,211,0,"BTK",1.07448164182257,0,33539,8180,65535
1,-28.712172340740363,1.1032533843925945,201,0,"EGFR",1.1032533843925945,0,30645,8808,65535
1,-28.66828742608636,1.1032533843925945,202,0,"ERBB3",1.1032533843925945,0,30776,8808,65535
1,-26.948518736696787,1.1068376783159035,195,0,"FLT3",1.1068376783159035,0,35899,8887,65535
1,-28.8301943724053,1.1289878062775391,184,0,"ZAP70",1.1289878062775391,0,30294,9371,65535
1,-27.482680851716445,1.1302521288062986,183,0,"FGFR4",1.1302521288062986,0,34307,9398,65535
1,-28.131485106117484,1.131520142792934,182,0,"NTRK1",1.131520142792934,0,32375,9426,65535
1,-26.29775130006652,1.1329114186163192,180,0,"EPHA1",1.1329114186163192,0,37837,9456,65535
1,-28.714295374975666,1.1727858598222316,165,0,"HCK",1.1727858598222316,0,30639,10327,65535
1,-29.209180995173913,1.1755877694242345,161,0,"SYK",1.1755877694242345,0,29165,10389,65535
1,-27.639850226060165,1.1862738628824774,155,0,"EPHA5",1.1862738628824774,0,33839,10622,65535
1,-27.822179147388766,1.191329984772814,153,0,"FGFR2",1.191329984772814,0,33296,10732,65535
